product_id,product_name,category,sub_category,total_orders,total_units,total_sales,total_profit,profit_margin_pct,total_shipping_cost,shipping_cost_pct,avg_shipping_days
FUR-BEV-10002803,"Bevis Conference Table, Fully Assembled",Furniture,Tables,1,1,925.23,305.31,33.00,89.90,9.72,5.00
FUR-BEV-10003414,"Bevis Computer Table, Fully Assembled",Furniture,Tables,2,2,694.39,178.51,25.71,49.78,7.17,4.00
FUR-BEV-10004805,"Bevis Conference Table, Rectangular",Furniture,Tables,1,2,1842.66,884.46,48.00,130.25,7.07,4.00
FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",Furniture,Tables,2,5,2668.05,853.65,32.00,448.95,16.83,2.00
FUR-BO-10000002,"Bush Classic Bookcase, Mobile",Furniture,Bookcases,4,11,4442.64,103.80,2.34,342.59,7.71,5.00
FUR-BO-10000008,"Sauder Library with Doors, Traditional",Furniture,Bookcases,1,2,465.16,-255.86,-55.00,46.63,10.02,3.00
FUR-BO-10000021,"Dania Corner Shelving, Metal",Furniture,Bookcases,1,2,243.06,102.06,41.99,33.09,13.61,2.00
FUR-BO-10000022,"Dania Floating Shelf Set, Traditional",Furniture,Bookcases,3,14,2201.56,44.00,2.00,268.22,12.18,3.00
FUR-BO-10000034,"Safco Classic Bookcase, Pine",Furniture,Bookcases,3,5,1450.35,-659.25,-45.45,86.31,5.95,3.33
FUR-BO-10000035,"Dania Classic Bookcase, Pine",Furniture,Bookcases,5,21,8308.13,3288.29,39.58,721.33,8.68,4.40
FUR-BO-10000038,"Bush Library with Doors, Pine",Furniture,Bookcases,4,18,2632.82,-1667.74,-63.34,253.75,9.64,3.75
FUR-BO-10000071,"Safco 3-Shelf Cabinet, Metal",Furniture,Bookcases,8,22,3046.24,1083.40,35.57,297.37,9.76,4.88
FUR-BO-10000087,"Dania Classic Bookcase, Mobile",Furniture,Bookcases,3,8,3153.33,12.21,0.39,255.02,8.09,3.00
FUR-BO-10000087,"Sauder Corner Shelving, Pine",Furniture,Bookcases,7,26,2081.10,71.30,3.43,205.58,9.88,4.86
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,1,9,825.17,-117.88,-14.29,219.28,26.57,2.00
FUR-BO-10000112,"Dania Corner Shelving, Pine",Furniture,Bookcases,5,15,1568.66,235.31,15.00,84.56,5.39,2.40
FUR-BO-10000120,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases,2,10,1262.65,220.15,17.44,342.75,27.15,3.50
FUR-BO-10000148,"Bush 3-Shelf Cabinet, Metal",Furniture,Bookcases,4,11,818.90,-228.52,-27.91,47.40,5.79,5.00
FUR-BO-10000155,"Dania Corner Shelving, Metal",Furniture,Bookcases,4,20,1798.66,509.84,28.35,114.22,6.35,4.75
FUR-BO-10000160,"Safco Library with Doors, Pine",Furniture,Bookcases,1,2,704.05,312.91,44.44,218.81,31.08,2.00
FUR-BO-10000170,"Safco Library with Doors, Mobile",Furniture,Bookcases,2,14,4943.11,-274.98,-5.56,448.83,9.08,3.50
FUR-BO-10000175,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,5,17,1934.33,440.54,22.77,223.25,11.54,3.60
FUR-BO-10000184,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,1,3,157.68,-145.86,-92.50,27.49,17.43,2.00
FUR-BO-10000195,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,3,12,1179.05,270.41,22.93,114.83,9.74,6.00
FUR-BO-10000203,"Sauder Library with Doors, Metal",Furniture,Bookcases,6,19,6874.72,2608.84,37.95,618.68,9.00,3.00
FUR-BO-10000208,"Bush Stackable Bookrack, Mobile",Furniture,Bookcases,5,33,3890.57,955.21,24.55,429.52,11.04,4.00
FUR-BO-10000210,"Ikea Library with Doors, Pine",Furniture,Bookcases,8,26,8797.52,2158.94,24.54,1001.55,11.38,4.75
FUR-BO-10000214,"Ikea Library with Doors, Pine",Furniture,Bookcases,1,3,291.79,-393.95,-135.01,19.68,6.74,2.00
FUR-BO-10000243,"Safco Floating Shelf Set, Pine",Furniture,Bookcases,4,28,4690.78,585.70,12.49,334.99,7.14,5.25
FUR-BO-10000259,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,6,21,7667.63,858.59,11.20,850.62,11.09,4.17
FUR-BO-10000265,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,5,14,2364.90,697.08,29.48,216.80,9.17,3.80
FUR-BO-10000268,"Bush Library with Doors, Pine",Furniture,Bookcases,2,4,877.61,-424.28,-48.34,62.91,7.17,4.00
FUR-BO-10000268,"Ikea 3-Shelf Cabinet, Traditional",Furniture,Bookcases,2,7,626.74,154.66,24.68,89.32,14.25,3.00
FUR-BO-10000269,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,5,13,893.60,194.20,21.73,79.47,8.89,4.20
FUR-BO-10000279,"Dania Classic Bookcase, Pine",Furniture,Bookcases,5,20,6222.87,535.47,8.60,704.72,11.32,4.20
FUR-BO-10000288,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,5,20,8368.67,-131.54,-1.57,1104.19,13.19,2.00
FUR-BO-10000311,"Safco Floating Shelf Set, Metal",Furniture,Bookcases,2,7,1236.06,274.68,22.22,225.28,18.23,3.50
FUR-BO-10000321,"Dania Floating Shelf Set, Mobile",Furniture,Bookcases,2,10,893.72,-189.28,-21.18,84.09,9.41,3.50
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,3,10,1064.62,24.19,2.27,50.11,4.71,1.67
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,5,14,2154.35,311.18,14.44,228.79,10.62,4.00
FUR-BO-10000378,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,4,15,1288.90,46.00,3.57,133.41,10.35,4.25
FUR-BO-10000402,"Sauder Stackable Bookrack, Traditional",Furniture,Bookcases,2,6,833.80,87.70,10.52,82.07,9.84,5.00
FUR-BO-10000411,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,4,24,2820.05,1081.01,38.33,195.59,6.94,4.25
FUR-BO-10000425,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,2,8,959.11,-41.21,-4.30,162.50,16.94,3.00
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,6,21,723.85,-133.11,-18.39,64.88,8.96,3.67
FUR-BO-10000490,"Bush Library with Doors, Metal",Furniture,Bookcases,4,23,7784.89,672.37,8.64,1069.31,13.74,2.50
FUR-BO-10000502,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,6,20,5437.53,525.93,9.67,430.45,7.92,4.00
FUR-BO-10000514,"Bush Library with Doors, Traditional",Furniture,Bookcases,3,11,2586.68,-1220.53,-47.19,229.47,8.87,4.00
FUR-BO-10000517,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,1,8,260.35,-358.05,-137.53,28.07,10.78,5.00
FUR-BO-10000533,"Dania Corner Shelving, Pine",Furniture,Bookcases,1,4,493.68,54.24,10.99,30.39,6.16,5.00
FUR-BO-10000567,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,8,43,10638.14,889.18,8.36,984.07,9.25,3.50
FUR-BO-10000596,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,6,24,9033.32,3244.51,35.92,648.52,7.18,5.00
FUR-BO-10000610,"Ikea Stackable Bookrack, Mobile",Furniture,Bookcases,4,13,1377.36,547.83,39.77,89.20,6.48,5.00
FUR-BO-10000616,"Dania Corner Shelving, Pine",Furniture,Bookcases,1,6,444.31,-89.03,-20.04,22.98,5.17,6.00
FUR-BO-10000623,"Safco Library with Doors, Metal",Furniture,Bookcases,1,2,311.40,-373.68,-120.00,33.63,10.80,3.00
FUR-BO-10000624,"Safco Classic Bookcase, Metal",Furniture,Bookcases,7,26,6301.59,-70.49,-1.12,736.61,11.69,3.57
FUR-BO-10000636,"Dania Floating Shelf Set, Metal",Furniture,Bookcases,5,18,1688.10,492.90,29.20,221.88,13.14,3.80
FUR-BO-10000655,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,1,3,1109.05,86.20,7.77,110.81,9.99,7.00
FUR-BO-10000666,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,2,9,1304.64,182.52,13.99,234.65,17.99,2.50
FUR-BO-10000668,"Ikea Corner Shelving, Traditional",Furniture,Bookcases,1,2,246.12,66.42,26.99,27.86,11.32,4.00
FUR-BO-10000668,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,3,8,3130.96,43.84,1.40,282.30,9.02,5.00
FUR-BO-10000670,"Dania Corner Shelving, Metal",Furniture,Bookcases,5,30,3062.56,947.56,30.94,221.76,7.24,4.40
FUR-BO-10000676,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,3,16,1361.13,-554.56,-40.74,239.79,17.62,4.33
FUR-BO-10000684,"Sauder Corner Shelving, Traditional",Furniture,Bookcases,5,16,2106.39,-85.77,-4.07,220.63,10.47,4.60
FUR-BO-10000699,"Sauder 3-Shelf Cabinet, Traditional",Furniture,Bookcases,6,24,3798.64,238.24,6.27,446.11,11.74,4.17
FUR-BO-10000700,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,1,2,232.85,-97.03,-41.67,13.37,5.74,5.00
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,2,12,851.76,229.97,27.00,53.74,6.31,6.50
FUR-BO-10000712,"Bush Corner Shelving, Pine",Furniture,Bookcases,1,2,250.68,112.80,45.00,16.12,6.43,5.00
FUR-BO-10000728,"Dania Corner Shelving, Traditional",Furniture,Bookcases,6,28,3369.13,1112.89,33.03,162.00,4.81,5.00
FUR-BO-10000728,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,7,28,7014.97,982.65,14.01,675.75,9.63,4.29
FUR-BO-10000734,"Bush Corner Shelving, Pine",Furniture,Bookcases,7,20,1253.38,183.78,14.66,126.27,10.07,4.14
FUR-BO-10000746,"Ikea Corner Shelving, Mobile",Furniture,Bookcases,5,17,1322.78,511.20,38.65,114.67,8.67,3.60
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,5,22,2946.36,-767.75,-26.06,254.18,8.63,4.40
FUR-BO-10000786,"Sauder Stackable Bookrack, Pine",Furniture,Bookcases,4,23,3304.19,1123.10,33.99,187.23,5.67,5.00
FUR-BO-10000791,"Dania Library with Doors, Traditional",Furniture,Bookcases,1,5,483.20,-579.90,-120.01,24.62,5.10,5.00
FUR-BO-10000797,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,3,7,1072.19,71.33,6.65,104.45,9.74,3.33
FUR-BO-10000807,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,1,4,473.04,-23.76,-5.02,6.35,1.34,5.00
FUR-BO-10000820,"Sauder 3-Shelf Cabinet, Metal",Furniture,Bookcases,1,4,598.10,166.10,27.77,110.03,18.40,2.00
FUR-BO-10000847,"Dania Stackable Bookrack, Mobile",Furniture,Bookcases,5,19,2006.23,712.32,35.51,309.58,15.43,3.20
FUR-BO-10000883,"Dania Corner Shelving, Mobile",Furniture,Bookcases,2,8,950.62,-36.26,-3.81,93.28,9.81,6.00
FUR-BO-10000889,"Safco 3-Shelf Cabinet, Mobile",Furniture,Bookcases,1,2,205.63,-85.73,-41.69,28.96,14.08,0.00
FUR-BO-10000891,"Ikea Classic Bookcase, Pine",Furniture,Bookcases,4,18,3470.04,-396.72,-11.43,326.41,9.41,4.75
FUR-BO-10000892,"Bush Corner Shelving, Mobile",Furniture,Bookcases,1,6,759.06,15.12,1.99,206.28,27.18,2.00
FUR-BO-10000895,"Sauder Corner Shelving, Metal",Furniture,Bookcases,4,10,1394.22,352.02,25.25,58.29,4.18,3.75
FUR-BO-10000895,"Sauder Stackable Bookrack, Pine",Furniture,Bookcases,1,6,582.43,26.77,4.60,31.41,5.39,5.00
FUR-BO-10000936,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,4,11,1866.84,321.78,17.24,200.45,10.74,3.00
FUR-BO-10000961,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,5,21,2197.54,519.22,23.63,189.35,8.62,3.80
FUR-BO-10000967,"Ikea Library with Doors, Pine",Furniture,Bookcases,5,22,6346.48,970.12,15.29,535.60,8.44,4.20
FUR-BO-10000980,"Bush Library with Doors, Traditional",Furniture,Bookcases,7,15,5289.94,1792.09,33.88,932.25,17.62,3.43
FUR-BO-10001003,"Dania 3-Shelf Cabinet, Traditional",Furniture,Bookcases,2,11,1555.95,746.79,48.00,78.40,5.04,5.50
FUR-BO-10001010,"Dania Corner Shelving, Mobile",Furniture,Bookcases,4,20,2267.54,498.14,21.97,275.65,12.16,3.25
FUR-BO-10001039,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,6,19,5586.33,1137.48,20.36,560.00,10.02,4.50
FUR-BO-10001042,"Dania 3-Shelf Cabinet, Pine",Furniture,Bookcases,7,25,1961.12,-61.88,-3.16,145.46,7.42,3.71
FUR-BO-10001067,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,5,16,1032.17,126.25,12.23,163.40,15.83,3.00
FUR-BO-10001073,"Safco Classic Bookcase, Metal",Furniture,Bookcases,4,18,7246.82,866.18,11.95,961.61,13.27,3.75
FUR-BO-10001099,"Bush Corner Shelving, Traditional",Furniture,Bookcases,4,15,975.39,32.79,3.36,160.18,16.42,4.25
FUR-BO-10001133,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,5,16,6296.91,1789.23,28.41,770.31,12.23,4.60
FUR-BO-10001147,"Bush Floating Shelf Set, Metal",Furniture,Bookcases,6,19,2784.61,383.77,13.78,210.08,7.54,4.33
FUR-BO-10001155,"Dania 3-Shelf Cabinet, Traditional",Furniture,Bookcases,6,17,2148.64,-112.21,-5.22,261.32,12.16,3.50
FUR-BO-10001155,"Ikea 3-Shelf Cabinet, Metal",Furniture,Bookcases,3,7,752.07,-82.47,-10.97,80.27,10.67,3.33
FUR-BO-10001165,"Bush Library with Doors, Mobile",Furniture,Bookcases,4,14,3448.30,-44.42,-1.29,528.55,15.33,2.50
FUR-BO-10001192,"Bush Library with Doors, Mobile",Furniture,Bookcases,7,18,5575.96,1812.16,32.50,870.03,15.60,3.43
FUR-BO-10001196,"Bush Library with Doors, Pine",Furniture,Bookcases,4,17,4786.62,61.98,1.29,728.87,15.23,3.00
FUR-BO-10001201,"Bush Stackable Bookrack, Mobile",Furniture,Bookcases,6,25,1811.48,637.98,35.22,303.62,16.76,3.00
FUR-BO-10001212,"Safco Classic Bookcase, Mobile",Furniture,Bookcases,7,24,9187.97,-225.31,-2.45,1108.30,12.06,4.29
FUR-BO-10001216,"Sauder 3-Shelf Cabinet, Mobile",Furniture,Bookcases,5,24,3480.44,1043.96,30.00,422.95,12.15,2.80
FUR-BO-10001233,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,2,9,753.79,-368.33,-48.86,63.02,8.36,3.50
FUR-BO-10001254,"Dania 3-Shelf Cabinet, Mobile",Furniture,Bookcases,1,2,287.94,0.00,0.00,21.10,7.33,4.00
FUR-BO-10001255,"Ikea Library with Doors, Mobile",Furniture,Bookcases,4,16,4903.20,-132.01,-2.69,460.86,9.40,4.50
FUR-BO-10001256,"Ikea Corner Shelving, Pine",Furniture,Bookcases,2,7,821.11,19.75,2.41,66.65,8.12,7.00
FUR-BO-10001271,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,1,3,349.87,-113.75,-32.51,26.25,7.50,6.00
FUR-BO-10001276,"Safco Floating Shelf Set, Mobile",Furniture,Bookcases,2,6,318.82,-95.66,-30.00,32.38,10.16,3.00
FUR-BO-10001287,"Dania Floating Shelf Set, Metal",Furniture,Bookcases,6,14,2245.18,779.80,34.73,288.23,12.84,3.67
FUR-BO-10001295,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,3,11,1232.90,453.66,36.80,142.89,11.59,4.33
FUR-BO-10001309,"Ikea Classic Bookcase, Traditional",Furniture,Bookcases,2,3,1235.25,259.38,21.00,305.42,24.73,4.00
FUR-BO-10001318,"Safco Library with Doors, Mobile",Furniture,Bookcases,1,4,418.46,-188.34,-45.01,153.10,36.59,2.00
FUR-BO-10001324,"Sauder Floating Shelf Set, Pine",Furniture,Bookcases,3,16,2978.14,564.22,18.95,332.22,11.16,4.33
FUR-BO-10001326,"Bush 3-Shelf Cabinet, Pine",Furniture,Bookcases,4,10,1447.20,246.00,17.00,196.90,13.61,4.50
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,10,28,2970.07,-78.64,-2.65,341.68,11.50,4.30
FUR-BO-10001342,"Safco Corner Shelving, Metal",Furniture,Bookcases,6,17,2345.49,-186.15,-7.94,164.84,7.03,3.83
FUR-BO-10001356,"Ikea Library with Doors, Mobile",Furniture,Bookcases,9,28,6342.45,877.97,13.84,876.73,13.82,3.56
FUR-BO-10001358,"Bush 3-Shelf Cabinet, Traditional",Furniture,Bookcases,3,10,688.17,-239.03,-34.73,63.04,9.16,4.33
FUR-BO-10001362,"Ikea Classic Bookcase, Metal",Furniture,Bookcases,2,4,1315.87,-82.25,-6.25,169.48,12.88,5.00
FUR-BO-10001369,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases,4,7,665.58,144.78,21.75,107.54,16.16,3.25
FUR-BO-10001370,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,2,3,1140.13,-17.54,-1.54,338.75,29.71,1.50
FUR-BO-10001372,"Safco Classic Bookcase, Pine",Furniture,Bookcases,4,21,9097.65,513.90,5.65,1264.69,13.90,3.25
FUR-BO-10001385,"Sauder Corner Shelving, Metal",Furniture,Bookcases,4,18,2053.17,573.57,27.94,96.17,4.68,6.25
FUR-BO-10001387,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,4,17,2419.90,546.67,22.59,163.96,6.78,4.75
FUR-BO-10001390,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,4,12,1096.13,301.25,27.48,243.58,22.22,4.00
FUR-BO-10001392,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,4,10,4054.70,1482.20,36.56,483.89,11.93,4.00
FUR-BO-10001393,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,6,25,3844.60,57.85,1.50,371.50,9.66,3.50
FUR-BO-10001405,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,8,38,4482.47,1588.01,35.43,634.70,14.16,3.63
FUR-BO-10001436,"Bush Corner Shelving, Traditional",Furniture,Bookcases,2,14,1413.48,41.76,2.95,98.23,6.95,5.50
FUR-BO-10001452,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,1,2,248.22,96.78,38.99,8.19,3.30,7.00
FUR-BO-10001461,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,4,11,2122.82,1040.75,49.03,298.84,14.08,3.25
FUR-BO-10001471,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,4,26,10537.89,4650.45,44.13,651.71,6.18,5.00
FUR-BO-10001476,"Safco Corner Shelving, Pine",Furniture,Bookcases,5,9,804.32,62.18,7.73,219.66,27.31,3.60
FUR-BO-10001483,"Bush Corner Shelving, Metal",Furniture,Bookcases,9,39,2403.16,-390.02,-16.23,324.16,13.49,4.00
FUR-BO-10001498,"Dania Classic Bookcase, Pine",Furniture,Bookcases,10,40,9725.79,2801.79,28.81,1014.88,10.43,3.90
FUR-BO-10001501,"Bush Classic Bookcase, Metal",Furniture,Bookcases,9,32,11560.52,4042.76,34.97,799.16,6.91,3.89
FUR-BO-10001507,"Ikea Library with Doors, Traditional",Furniture,Bookcases,1,2,484.52,58.12,12.00,59.01,12.18,4.00
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,5,22,1119.20,147.09,13.14,101.07,9.03,2.60
FUR-BO-10001524,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,1,5,166.48,-116.62,-70.05,10.33,6.20,5.00
FUR-BO-10001537,"Ikea Corner Shelving, Metal",Furniture,Bookcases,3,9,1102.68,44.01,3.99,89.66,8.13,5.00
FUR-BO-10001541,"Bush Stackable Bookrack, Traditional",Furniture,Bookcases,6,28,2936.51,-231.97,-7.90,592.98,20.19,3.17
FUR-BO-10001553,"Sauder Library with Doors, Traditional",Furniture,Bookcases,4,20,7481.26,-193.94,-2.59,790.80,10.57,3.50
FUR-BO-10001555,"Bush Corner Shelving, Metal",Furniture,Bookcases,3,10,1234.50,172.80,14.00,87.96,7.13,4.67
FUR-BO-10001558,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,2,8,953.06,-258.70,-27.14,149.85,15.72,2.00
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,1,3,90.88,-190.85,-210.00,5.94,6.54,2.00
FUR-BO-10001580,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,6,31,3534.52,370.66,10.49,392.85,11.11,4.50
FUR-BO-10001585,"Ikea Floating Shelf Set, Traditional",Furniture,Bookcases,8,22,2066.79,267.63,12.95,127.35,6.16,4.38
FUR-BO-10001585,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,1,3,591.30,218.70,36.99,68.71,11.62,4.00
FUR-BO-10001596,"Dania Library with Doors, Mobile",Furniture,Bookcases,4,21,3600.54,-588.96,-16.36,189.47,5.26,5.00
FUR-BO-10001598,"Bush Corner Shelving, Pine",Furniture,Bookcases,6,24,2919.17,1264.61,43.32,279.95,9.59,4.50
